
   111;    0; 100;  512, 1024 , 512   
   222;  100; 300; 1024,  512     
   333;  100; 200;  512       
 64433;  350; 930;  950, 1750 , 350   
 20485;  350; 170; 1840       
 11335;  750; 300; 1040       
 28701; 1130; 290; 1860, 1900 , 800   
  3790; 1130;  50; 1300, 1990 ,1140, 1990 
 52179; 1130; 920; 1030, 1970 ,1250   
 39655; 1130; 900; 1470       
 21506; 1130; 620;  450, 1200     
 52113; 1200; 810;  640       
 25359; 1270; 360;  690, 1390 ,1850, 1900 
  3986; 1610; 670; 1540, 1260 ,1760,  960 
 57950; 1950; 500; 1540,  280     
  7519; 2310; 930; 1450       
 20281; 2310; 670; 1350       
 18983; 2360; 360; 2040,  290 ,1570, 1530 
 37518; 2360; 470; 1510, 1960     
 46823; 2530; 840; 1000, 1610     
 24494; 2530; 640; 1550, 1800     
  3034; 2540; 580; 1920, 1270     
 24815; 2540; 960;  920       
 26730; 2540; 370; 1110,  830     
 10950; 2850; 920; 1700       
 64224; 2850; 710;  770, 1540 ,1340   
 56122; 2880; 430;  600, 1500     
 26611; 2880; 820;  480       
 11135; 3040; 500;  910,  640 ,1090   
 33007; 3050; 290;  520, 1880     
 35588; 3400; 410;  320, 1730 , 960,  660 
 33476; 3720; 580; 1480, 1500 ,1660   
  3946; 3720; 610; 1130,  390 , 540   
 32680; 3930; 760;  860,  790 ,1190   
 55142; 4210; 880; 1780,  440 , 310   
 42416; 4510; 270;  770,  330     
 31712; 4510; 100; 1680       
 10460; 4510; 680;  340,  860 , 530,  880 
 56090; 4510; 320; 1260,  550 ,1990, 1310 
 53120; 4510;  80; 1100       
  7186; 4510; 430;  740,  640 ,1810   
 42547; 4710; 470; 1830, 1360 ,1850   
 47874; 4960;  60; 1130,  630     
 28515; 4960; 160;  420,  760     
 47117; 5040; 770; 1340,  310 ,1740   
 30586; 5040;  20; 1820       
 57757; 5340; 620; 1490, 1440     
 53586; 5410; 260; 1840       
 26029; 5610; 680;  560       
 37273; 6010; 180; 1350       
 41688; 6290; 650; 1700, 1200 ,1270, 1270 
  8907; 6290; 800; 1020, 1440 ,2020   
 44102; 6290; 180;  360,  960 ,1470   
 40931; 6440; 800;  370, 1030     
  3056; 6440; 870; 1330, 1020 , 910, 1570 
 22220; 6690;  80;  580       
  3574; 6980; 450;  660, 1140 , 760, 1870 
  7617; 6980; 920; 1010       
 22300; 7010; 420;  650,  280 , 880, 1300 
 48689; 7010; 280;  690, 1060 ,1710, 1970 
 10922; 7110; 400;  480,  780 ,1790   
 50085; 7370; 780;  450       
 54899; 7570; 770; 1210,  450 , 750   
 17780; 7890; 550; 1530, 2030 , 910   
 43381; 7960; 510;  880, 1380 ,1760   
 13091; 8120; 970; 1240       
  4570; 8120; 600; 1550,  470 ,1820, 2040 
 25403; 8390; 930;  560       
 59915; 8620;  80;  860       
 40273; 8830; 460;  880, 1940 ,1490   
 33559; 9030; 530;  880,  760 , 660   
 30205; 9030; 850; 1460, 1650 , 300, 1760 
 45186; 9270; 770; 2050,  930 , 790, 1970 
 53999; 9270; 770; 1720,  690 ,1080   
 21511; 9570; 620;  730, 1620 , 580,  460 
